Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
20156.41093515083,0.07240477347346302,2.077317641390893,-147.4686688488786
21334.03503223242,0.09824162736370731,1.932255418263823,-149.1759637677182
22580.46098687132,0.09801701768889644,1.680237906352502,-152.0913786465434
23899.7084990848,0.05130310136294632,-0.2891100681031167,162.9120105851337
25296.0321170294,0.06775843745170876,-0.2072273815061,-95.97444140991306
26773.9349578379,0.08502169655475399,-7.03194731702,-160.1940033105961
28338.18323008663,0.01058140877534597,-1.237612336923861,-168.4732699102573
29993.82160472731,0.1503069791974645,0.3496467940790244,-170.9821265466578
31746.18948405528,0.01910345518785285,-0.1131771644790869,-176.4985575968585
33600.93822118018,0.0303898591206933,0.1877428055797594,168.1700070713291
35564.04934553248,-0.01468436918497861,-1.27938299634027,167.3457309509074
37641.85385318225,0.09427624664772274,-1.338094049640322,169.8175895770981
39841.05262418107,0.1063887032879596,-1.208600557777963,165.0153192952663
42168.73803277285,0.1626937793404132,-2.137289183902845,149.6045001653107
44632.41682016619,0.1820598252183556,-8.041522604234864,-73.24237981317037
47240.03430363178,0.04673628660396485,11.75497417855015,149.0074537411756
50000,0.06075497499650265,13.32555111369622,133.2985780910803
